Team,Quarterback Passing Yards,Quarterback Rushing Yards
Chiefs,291,3
Chiefs,151,29
Chiefs,217,17
Chiefs,245,12
Chiefs,331,22
Chiefs,154,39
Chiefs,262,17
Chiefs,291,9
Chiefs,266,19
Chiefs,196,0
Chiefs,269,60
Chiefs,306,4
Chiefs,210,17
Chiefs,179,14
Chiefs,260,33
Chiefs,320,12
Chiefs,98,5
49ers,231,12
49ers,319,12
49ers,292,41
49ers,288,11
49ers,244,33
49ers,255,19
49ers,212,27
49ers,260,56
49ers,353,17
49ers,159,40
49ers,199,5
49ers,94,4
49ers,325,11
49ers,142,3
49ers,313,26
49ers,412,19
49ers,326,17
